,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying,Hogwarts House
0,0.6398867977050245,0.24148559436684192,0.7780941443221239,0.7585144056331582,0.7169358707820247,0.6160026558579691,0.5386788353677823,0.6723236868454291,0.7089316184054576,0.4319464044375452,0.6325706048190499,0.793213118859273,0.3356494549876232,False
1,0.7083571748913599,0.20912252876493503,0.20921370732167135,0.7908774712350651,0.16605362759208914,0.2605476322811685,0.1817678379927306,0.6170164955458438,0.8109173256316734,0.6335123739591862,0.5345732370084205,0.24886232137533257,0.14769618274199853,False
2,0.3717117980916444,0.302914181247924,0.8751121783815295,0.6970858187520761,0.7925262540647157,0.7998946512890167,0.6905683603505536,0.5898723628122814,0.9660748871015392,0.7197596067257807,0.43928596535315384,0.9462530017590861,0.46009032874451733,False
3,0.4410327389697354,0.8393964889281106,0.18445854922176275,0.16060351107188955,0.6798336798336798,0.23730211169163673,0.5202571610452487,0.1782151697449124,0.07327843393356757,0.25893434229155066,0.5179781153906047,0.11796962334906827,0.8296999174881662,True
5,0.3524349318775807,0.17804429896655086,0.2916833189837255,0.8219557010334493,0.11381203688895995,0.2822401686188413,0.2433926722066436,0.6796672681071191,0.7784447633565906,0.8959319470784649,0.6849949889941962,0.36785915412295866,0.3187128153906284,False
8,0.3452360700864482,0.7378570595792817,0.24668159870109146,0.26214294042071834,0.7773335465643159,0.19538439832280674,0.6152901826337274,0.10986044893472581,0.0991740085407196,0.2743565748083213,0.7002436672366426,0.24629752633154048,0.924089112780649,True
9,0.5465722283222244,0.7533887681378066,0.8846879771320016,0.24661123186219341,0.6441174902713365,0.30231914004372257,0.12481619806907102,0.6599007314794577,0.7175902783506828,0.33160879671171234,0.4370487343129665,0.46247302838399446,0.39384201155165677,False
10,0.46385877549757976,0.7925931249651438,0.7662940874990387,0.2074068750348562,0.7508395969934432,0.24020670711345019,0.43551781791108657,0.6953835366509047,0.6902825088082839,0.7526665099683884,0.44223301323264036,0.5153519939765502,0.534329265644678,False
11,0.5483816092665048,0.7086894442148486,0.7583460088682412,0.2913105557851515,0.6258862412708567,0.24593384780677455,0.2885954598037048,0.6511817499074314,0.7460585682421721,0.5827022213335356,0.3758169172189656,0.4529794125788375,0.4388978156077648,False
12,0.3944837078391043,0.845121187363683,0.582789709076222,0.15487881263631695,0.8432219201449971,0.33479931937654245,0.32854567954927916,0.7249588851824553,0.694237930247266,0.6837254776652671,0.37275490643870623,0.4785209644482806,0.4104529465410171,False
13,0.4821458948703277,0.21309058073363463,0.1450439751906669,0.7869094192663655,0.13577482808252042,0.33890261677455014,0.23353649595875622,0.558335898716531,0.9367566600213365,0.8491640583195249,0.7986476471084916,0.27859468546168886,0.21941633734311897,False
14,0.5347803225956111,0.3879130908930243,0.6331507349819121,0.6120869091069758,0.8172077402846634,0.7355151304345384,0.697080046777561,0.6845790446186193,0.8352887696597896,0.7593313563970238,0.34551806976717275,0.7969864781175487,0.35074043514135583,False
